ISO,Country,Region,Both sexes,Year
MAR,Morocco,Eastern Mediterranean,25.9,2018
MOZ,Mozambique,Africa,22.6,2018
MMR,Myanmar,South-East Asia,22.7,2018
NAM,Namibia,Africa,23.8,2018
NRU,Nauru,Western Pacific,32.5,2018
NPL,Nepal,South-East Asia,22.4,2018
NLD,Netherlands,Europe,26.1,2018
NZL,New Zealand,Western Pacific,28.2,2018
NIC,Nicaragua,Americas,26.9,2018
NER,Niger,Africa,21.8,2018
NGA,Nigeria,Africa,23,2018
NIU,Niue,Western Pacific,32.4,2018
NOR,Norway,Europe,27.1,2018
OMN,Oman,Eastern Mediterranean,26.2,2018
PAK,Pakistan,Eastern Mediterranean,23.8,2018
PLW,Palau,Western Pacific,29.5,2018
PAN,Panama,Americas,26.9,2018
PNG,Papua New Guinea,Western Pacific,25.8,2018
PRY,Paraguay,Americas,26.5,2018
PER,Peru,Americas,26.6,2018
PHL,Philippines,Western Pacific,23.1,2018
POL,Poland,Europe,27.3,2018
PRT,Portugal,Europe,26.2,2018
QAT,Qatar,Eastern Mediterranean,29.2,2018
PRK,Republic of Korea,Western Pacific,23.9,2018
MDA,Republic of Moldova,Europe,27.4,2018
MKD,Republic of North Macedonia,Europe,27,2018
ROU,Romania,Europe,27.5,2018
RUS,Russian Federation,Europe,26.7,2018
RWA,Rwanda,Africa,22.2,2018
KNA,Saint Kitts and Nevis,Americas,29.5,2018
LCA,Saint Lucia,Americas,30,2018
VCT,Saint Vincent and the Grenadines,Americas,27.2,2018
WSM,Samoa,Western Pacific,31.9,2018
STP,Sao Tome and Principe,Africa,24.5,2018
SAU,Saudi Arabia,Eastern Mediterranean,28.5,2018
SEN,Senegal,Africa,22.5,2018
SRB,Serbia,Europe,26.5,2018
SYC,Seychelles,Africa,26.9,2018
SLE,Sierra Leone,Africa,22.7,2018
SGP,Singapore,Western Pacific,23.8,2018
SVK,Slovakia,Europe,27,2018
SVN,Slovenia,Europe,27,2018
SLB,Solomon Islands,Western Pacific,26.2,2018
SOM,Somalia,Eastern Mediterranean,22.9,2018
ZAF,South Africa,Africa,27,2018
ESP,Spain,Europe,26.6,2018
LKA,Sri Lanka,South-East Asia,23.2,2018
SUR,Suriname,Americas,26.6,2018
SWE,Sweden,Europe,26.4,2018
CHE,Switzerland,Europe,25.7,2018
SYR,Syrian Arab Republic,Eastern Mediterranean,27.8,2018
TJK,Tajikistan,Europe,25.6,2018
THA,Thailand,South-East Asia,24.6,2018
TLS,Timor-Leste,South-East Asia,21.1,2018
TGO,Togo,Africa,23.4,2018
TON,Tonga,Western Pacific,31.9,2018
TTO,Trinidad and Tobago,Americas,27.9,2018
TUN,Tunisia,Eastern Mediterranean,26.4,2018
TUR,Turkey,Europe,27.9,2018
TKM,Turkmenistan,Europe,26.2,2018
TUV,Tuvalu,Western Pacific,30.7,2018
UGA,Uganda,Africa,22.4,2018
UKR,Ukraine,Europe,26.9,2018
ARE,United Arab Emirates,Eastern Mediterranean,28.6,2018
IRL,United Kingdom of Great Britain and Northern Ireland,Europe,27.5,2018
TZA,United Republic of Tanzania,Africa,23,2018
USA,United States of America,Americas,29.1,2018
URY,Uruguay,Americas,27.6,2018
UZB,Uzbekistan,Europe,26.5,2018
VUT,Vanuatu,Western Pacific,26,2018
VEN,Venezuela (Bolivarian Republic of),Americas,26.7,2018
VNM,Viet Nam,Western Pacific,21.9,2018
YEM,Yemen,Eastern Mediterranean,23.4,2018
ZMB,Zambia,Africa,22.2,2018
ZWE,Zimbabwe,Africa,23.4,2018
